ID RMU,Universitate,ID Universitate,Facultate,ID Facultate,Tara,ID Tara,Localitate,ID Localitate,Domeniu studiu,ID Domeniu studiu,Specializare,ID Specializare,Tip acreditare,ID Tip acreditare,Forma invatamant,ID Forma invatamant,Ciclu de studiu,ID Ciclu de studiu,Limba predare,ID Limba predare,Durata studiu,Numar credite,An
15064,Universitatea din Bucureşti,5,Facultatea de Matematică şi Informatică,48,România,160,BUCUREŞTI,13755,Informatică,4,Baze de date şi tehnologii software,4234,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15061,Universitatea din Bucureşti,5,Facultatea de Matematică şi Informatică,48,România,160,BUCUREŞTI,13755,Informatică,4,Baze de date şi tehnologii software,4234,A,3,Învăţământ cu frecvenţă redusă (IFR),2,Master,2,Română,8,2,120,2020
15058,Universitatea din Bucureşti,5,Facultatea de Biologie,37,România,160,BUCUREŞTI,13755,Biologie,5,Biochimie clinică aplicată,4231,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15055,Universitatea din Bucureşti,5,Facultatea de Biologie,37,România,160,BUCUREŞTI,13755,Biologie,5,Bioinformatică medicală,4228,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15052,Universitatea Politehnica din Bucureşti,1,Facultatea de Inginerie Medicală,14,România,160,BUCUREŞTI,13755,Ştiinţe inginereşti aplicate,70,Bioinginerie aplicată pentru medicina regenerativă,4225,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15043,Universitatea de Vest din Timişoara,48,Facultatea de Sociologie şi Psihologie,362,România,160,TIMIŞOARA,11846,Ştiinţe ale educaţiei,22,Consiliere şi integrare educaţională,4216,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15034,"Universitatea ""Alexandru Ioan Cuza"" din Iaşi",31,Facultatea de Psihologie şi Ştiinţe ale Educaţiei,248,România,160,IAŞI,7630,Psihologie,23,"Evaluare clinică, consiliere şi psihoterapie de cuplu şi familie",4207,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15031,"Universitatea ""Alexandru Ioan Cuza"" din Iaşi",31,Facultatea de Drept,238,România,160,IAŞI,7630,Drept,15,Jurisdicţii speciale,4204,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,1,60,2020
15028,Universitatea din Bucureşti,5,Facultatea de Biologie,37,România,160,BUCUREŞTI,13755,Biologie,5,Laborator medical,4201,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
15025,"Universitatea de Medicină şi Farmacie ""Iuliu Haţieganu"" din Cluj-Napoca",21,Facultatea de Medicină,159,România,160,CLUJ-NAPOCA,4413,Medicină,89,Laborator medical,4198,A,3,Învăţământ cu frecvenţă (IF),1,Master,2,Română,8,2,120,2020
