ID RMU,Nume,Domeniu studiu,ID Domeniu studiu,Ramura stiinta,Domeniu fundamental,Ciclu de studii,ID Ciclu de studii,An
51,Drept,Drept,15,Ştiinţe juridice,Ştiinţe sociale,Licență,1,2020
52,Drept european şi internaţional,Drept,15,Ştiinţe juridice,Ştiinţe sociale,Licență,1,2020
53,Ordine şi siguranţă publică,"Ştiinţe militare, informaţii şi ordine publică",71,"Ştiinţe militare, informaţii şi ordine publică",Ştiinţe sociale,Licență,1,2020
54,Sociologie,Sociologie,16,Sociologie,Ştiinţe sociale,Licență,1,2020
55,Antropologie,Sociologie,16,Sociologie,Ştiinţe sociale,Licență,1,2020
56,Resurse umane,Sociologie,16,Sociologie,Ştiinţe sociale,Licență,1,2020
57,Asistenţă socială,Asistenţă socială,17,Sociologie,Ştiinţe sociale,Licență,1,2020
58,Ştiinţe politice,Ştiinţe politice,18,Ştiinţe politice,Ştiinţe sociale,Licență,1,2020
60,Relaţii internaţionale şi studii europene,Relaţii internaţionale şi studii europene,19,Ştiinţe politice,Ştiinţe sociale,Licență,1,2020
61,Administraţie publică,Ştiinţe administrative,20,Ştiinţe administrative,Ştiinţe sociale,Licență,1,2020
62,Administraţie europeană,Ştiinţe administrative,20,Ştiinţe administrative,Ştiinţe sociale,Licență,1,2020
64,Poliţie locală,Ştiinţe administrative,20,Ştiinţe administrative,Ştiinţe sociale,Licență,1,2020
65,Servicii şi politici de sănătate publică (Public Health),Ştiinţe administrative,20,Ştiinţe administrative,Ştiinţe sociale,Licență,1,2020
66,Jurnalism,Ştiinţe ale comunicării,21,Ştiinţe ale comunicării,Ştiinţe sociale,Licență,1,2020
67,Comunicare şi relaţii publice,Ştiinţe ale comunicării,21,Ştiinţe ale comunicării,Ştiinţe sociale,Licență,1,2020
68,Publicitate,Ştiinţe ale comunicării,21,Ştiinţe ale comunicării,Ştiinţe sociale,Licență,1,2020
69,Ştiinţe ale informării şi documentării,Ştiinţe ale comunicării,21,Ştiinţe ale comunicării,Ştiinţe sociale,Licență,1,2020
70,Pedagogie,Ştiinţe ale educaţiei,22,Psihologie şi ştiinţe comportamentale,Ştiinţe sociale,Licență,1,2020
71,Psihopedagogie specială,Ştiinţe ale educaţiei,22,Psihologie şi ştiinţe comportamentale,Ştiinţe sociale,Licență,1,2020
72,Pedagogia învăţământului primar şi preşcolar,Ştiinţe ale educaţiei,22,Psihologie şi ştiinţe comportamentale,Ştiinţe sociale,Licență,1,2020
73,Psihologie,Psihologie,23,Psihologie şi ştiinţe comportamentale,Ştiinţe sociale,Licență,1,2020
74,Terapie ocupaţională,Psihologie,23,Psihologie şi ştiinţe comportamentale,Ştiinţe sociale,Licență,1,2020
75,Economie generală,Economie,24,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
76,Economie agroalimentară,Economie,24,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
77,Economia mediului,Economie,24,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
78,Economie şi comunicare economică în afaceri,Economie,24,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
79,Economie agroalimentară şi a mediului,Economie,24,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
80,Economie generală şi comunicare economică,Economie,24,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
81,Finanţe şi bănci,Finanţe,25,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
82,Administrarea afacerilor,Administrarea afacerilor,26,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
83,Economia firmei,Administrarea afacerilor,26,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
84,"Economia comerţului, turismului şi serviciilor",Administrarea afacerilor,26,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
85,Merceologie şi managementul calităţii,Administrarea afacerilor,26,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
86,"Economia comerţului, turismului, serviciilor şi managementul calităţii",Administrarea afacerilor,26,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
87,Administrarea afacerilor în servicii de ospitalitate,Administrarea afacerilor,26,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
88,"Administrarea afacerilor în comerţ, turism,servicii, merceologie şi managementul calităţii",Administrarea afacerilor,26,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
89,Contabilitate şi informatică de gestiune,Contabilitate,27,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
90,Cibernetică economică,"Cibernetică, statistică şi informatică economică",28,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
91,Informatică economică,"Cibernetică, statistică şi informatică economică",28,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
92,Statistică şi previziune economică,"Cibernetică, statistică şi informatică economică",28,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
93,Economie internaţională,Economie şi afaceri internaţionale,29,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
94,Afaceri internaţionale,Economie şi afaceri internaţionale,29,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
95,Economie şi afaceri internaţionale,Economie şi afaceri internaţionale,29,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
96,Management,Management,30,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
97,Managementul dezvoltării rurale durabile,Management,30,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
98,Marketing,Marketing,31,Ştiinţe economice,Ştiinţe sociale,Licență,1,2020
99,Artele spectacolului,Teatru şi artele spectacolului,32,Arte,Ştiinţe umaniste şi arte,Licență,1,2020
100,Teatrologie,Teatru şi artele spectacolului,32,Arte,Ştiinţe umaniste şi arte,Licență,1,2020
101,Scenografie,Teatru şi artele spectacolului,32,Arte,Ştiinţe umaniste şi arte,Licență,1,2020
102,"Cinematografie, fotografie, media",Cinematografie şi media,33,Arte,Ştiinţe umaniste şi arte,Licență,1,2020
103,Filmologie,Cinematografie şi media,33,Arte,Ştiinţe umaniste şi arte,Licență,1,2020
105,Muzică religioasă,Muzică,34,Arte,Ştiinţe umaniste şi arte,Licență,1,2020
106,Muzicologie,Muzică,34,Arte,Ştiinţe umaniste şi arte,Licență,1,2020
107,Interpretare muzicală - canto,Muzică,34,Arte,Ştiinţe umaniste şi arte,Licență,1,2020
