ID RMU,Nume,Domeniu fundamental,ID Domeniu fundamental,Ramura stiinta,ID Ramura stiinta,isLicenta,isMaster,isDoctorat,An
61,Inginerie mecanică,Ştiinţe inginereşti,12,"Inginerie mecanică, mecatronică, inginerie industrială şi management",11,1,1,1,2020
62,Ingineria mediului,Ştiinţe inginereşti,12,"Inginerie mecanică, mecatronică, inginerie industrială şi management",11,1,1,1,2020
63,Arhitectură navală,Ştiinţe inginereşti,12,"Inginerie mecanică, mecatronică, inginerie industrială şi management",11,1,1,1,2020
64,Inginerie marină şi navigaţie,Ştiinţe inginereşti,12,"Inginerie mecanică, mecatronică, inginerie industrială şi management",11,1,0,0,2020
65,Ingineria sistemelor,Ştiinţe inginereşti,12,"Ingineria sistemelor, calculatoare şi tehnologia informaţiei",10,1,1,1,2020
66,Inginerie şi management,Ştiinţe inginereşti,12,"Inginerie mecanică, mecatronică, inginerie industrială şi management",11,1,1,1,2020
67,Ingineria transporturilor,Ştiinţe inginereşti,12,Ingineria transporturilor,8,1,1,1,2020
68,Mecatronică şi robotică,Ştiinţe inginereşti,12,"Inginerie mecanică, mecatronică, inginerie industrială şi management",11,1,1,1,2020
69,"Mine, petrol şi gaze",Ştiinţe inginereşti,12,"Inginerie geologică, mine, petrol şi gaze",7,1,1,1,2020
70,Ştiinţe inginereşti aplicate,Ştiinţe inginereşti,12,"Inginerie mecanică, mecatronică, inginerie industrială şi management",11,1,1,1,2020
71,"Ştiinţe militare, informaţii şi ordine publică",Ştiinţe sociale,18,"Ştiinţe militare, informaţii şi ordine publică",23,1,0,0,2020
72,Medicină veterinară,Ştiinţe biologice şi biomedicale,17,Medicină veterinară,15,1,1,1,2020
75,Biologie (Biochimie),Ştiinţe biologice şi biomedicale,17,Biochimie,13,1,0,0,2020
76,Kinetoterapie,Ştiinţa Sportului şi Educaţiei Fizice,20,Ştiinţa Sportului şi Educaţiei Fizice,33,1,0,0,2020
77,Sănătate (Medicină - Reglementată sectorial),Ştiinţe biologice şi biomedicale,17,Medicină,14,1,0,0,2020
78,Sănătate (Medicină - Reglementată general),Ştiinţe biologice şi biomedicale,17,Medicină,14,1,0,0,2020
79,Sănătate (Medicină Dentară - Reglementată sectorial),Ştiinţe biologice şi biomedicale,17,Medicină dentară,16,1,0,0,2020
80,Sănătate (Farmacie - Reglementată sectorial),Ştiinţe biologice şi biomedicale,17,Farmacie,17,1,0,0,2020
81,Sănătate (Medicină Dentară - Reglementată general),Ştiinţe biologice şi biomedicale,17,Medicină dentară,16,1,0,0,2020
82,Sănătate (Farmacie - Reglementată general),Ştiinţe biologice şi biomedicale,17,Farmacie,17,1,0,0,2020
83,Inginerie şi management în agricultură şi dezvoltare rurală,Ştiinţe inginereşti,12,Ingineria resurselor vegetale şi animale,9,1,1,1,2020
84,Studiul patrimoniului (Heritage Studies),Ştiinţe umaniste şi arte,19,Istorie,28,1,0,0,2020
